61842,673823,5766,679589
55737,241579,2884,244463
0,11723,99,11822
1167,0,2882,2882
691,8533,2871,11404
6199,209175,0,209175
36906,795106,8654,803760
42799,700514,2880,703394
22466,700228,0,700228
27391,683170,0,683170
33686,698862,5758,704620
44254,723769,5998,729767
36343,714126,33049,747175
56639,686121,68946,755067
57366,665570,95974,761544
54630,613258,77946,691204
56581,570549,77810,648359
57691,589599,36578,626177
58877,651863,12727,664590
55512,598632,5760,604392
38226,624973,0,624973
21927,649171,2873,652044
22875,688932,2978,691910
33566,651693,3245,654938
47490,700079,0,700079
38870,632729,0,632729
29807,636570,5868,642438
46015,661053,0,661053
35736,625579,9131,634710
45703,571326,5761,577087
23924,754616,366,754982
22294,659910,0,659910
22263,659003,365,659368
22405,663188,0,663188
24135,639552,2991,642543
23422,642719,0,642719
21054,623551,0,623551
24806,652274,6255,658529
43160,639867,365,640232
33984,665753,5999,671752
49138,645901,24019,669920
56813,641881,69398,711279
56155,645941,84470,730411
55610,612588,84239,696827
57100,618427,69126,687553
55228,607749,27282,635031
56006,678989,5995,684984
50448,681067,0,681067
21841,643581,0,643581
22247,687926,365,688291
23060,700257,2997,703254
30206,676465,2998,679463
23362,634655,14960,649615
55598,656144,56862,713006
52173,617971,89723,707694
55780,549779,98922,648701
55484,634385,44871,679256
55295,685261,5992,691253
47832,289213,3250,292463
27477,665257,5881,671138
32391,699659,0,699659
22077,686884,2881,689765
22468,683321,99,683420
22623,687275,0,687275
25823,696331,3001,699332
22924,698835,366,699201
23271,703550,366,703916
23098,707290,0,707290
23280,697935,18386,716321
50714,711266,45069,756335
60971,675612,74847,750459
61762,677039,105149,782188
63670,664880,132419,797299
65637,681270,162128,843398
61853,578750,249862,828612
65181,581695,225065,806760
64143,624095,191251,815346
43876,308802,35917,344719
20622,82107,26892,108999
31327,514451,47953,562404
52019,617236,110956,728192
64646,679285,137909,817194
53696,670294,87156,757450
59450,657760,131934,789694
54746,630431,128767,759198
65574,683122,125917,809039
59514,638656,152894,791550
66981,687930,143821,831751
58950,667548,113775,781323
59600,672166,137663,809829
60514,636352,146948,783300
58595,681010,83758,764768
59224,669662,125699,795361
61911,643283,176941,820224
63342,716143,108022,824165
60583,741723,92774,834497
62099,704035,122868,826903
64658,653269,206908,860177
59894,626027,176673,802700
65852,653851,203286,857137
66069,653060,110949,764009
66353,785983,119912,905895
62825,712882,69086,781968
56908,652491,57088,709579
64480,682913,117100,800013
60415,636151,123113,759264
62666,619493,162168,781661
64276,596021,215405,811426
66802,594663,246042,840705
64326,573304,156179,729483
65284,598635,204153,802788
63328,666822,134649,801471
65591,608210,89517,697727
63592,766599,63325,829924
64726,615483,9390,624873
34503,665127,3241,668368
34820,623675,2875,626550
39397,665850,2878,668728
47952,587795,2876,590671
32851,645150,3368,648518
44194,658099,366,658465
37155,674851,0,674851
44181,656251,3337,659588
24763,650910,0,650910
22166,656133,0,656133
20999,627716,0,627716
22033,649027,365,649392
43827,673719,2875,676594
35750,657707,366,658073
44670,666038,2861,668899
43867,658540,0,658540
24897,650419,2993,653412
43291,623633,3242,626875
42818,698339,0,698339
38228,664602,2998,667600
25713,671479,0,671479
25700,665545,365,665910
46482,608253,32673,640926
54372,644976,32967,677943
55051,604781,78001,682782
53202,595362,80903,676265
60144,585274,51026,636300
59300,600424,21101,621525
46805,688161,8905,697066
48806,682100,20927,703027
48163,631564,65701,697265
63553,653011,38937,691948
64977,670500,3000,673500
52537,617071,2998,620069
64078,656178,0,656178
45567,683266,0,683266
59708,685473,2989,688462
55383,680166,0,680166
45095,669905,0,669905
43938,688919,0,688919
60734,625905,2880,628785
58733,683412,0,683412
47505,692336,0,692336
46749,668769,2998,671767
77640,593898,0,593898
44182,700389,0,700389
43360,644513,3246,647759
69599,532640,35156,567796
86128,636922,40011,676933
55424,535952,0,535952
36051,717522,0,717522
39153,698452,0,698452
44582,677966,5756,683722
54380,685584,0,685584
49406,655645,2994,658639
