7342,258700
6641,285734
5791,322276
7084,391003
7223,370598
8720,418537
10589,531524
10229,594471
11249,708294
15686,913640
17951,1040945
14557,1341689
12774,1230558
8819,1437576
2233,1372483
3794,1322867
2315,1501006
3810,1117680
1983,1501459
3920,1658200
3524,1678671
1618,1562270
4835,1733576
1470,1698809
3865,1581998
2731,1631159
3008,1622339
2425,1564972
3380,1114972
8126,1448610
1805,1540474
3427,1462580
2422,1796643
3227,1692622
2186,1706822
4153,1656359
2715,1771439
4162,1584820
10066,1528555
4042,1482892
3233,1473637
1944,1680143
2566,1344704
1913,1699485
1471,1429226
2279,1638228
1550,1378161
3711,1544250
2799,1792560
2718,1391302
6044,1592697
2612,1175848
2903,1632648
4930,1543144
6504,1568081
2529,1620729
2434,1400672
3052,1565579
2241,1390097
2793,1274742
3530,889341
2246,1055460
2430,1419194
2904,1413282
3766,1545453
2170,1341097
4640,1478087
2797,1276306
2791,900468
3423,1018060
3424,1562964
2614,1515232
2793,1301795
3157,1586244
3233,1266852
4043,1275966
2463,1405586
3738,1478834
2300,1110148
3335,925407
3047,974101
4239,1400421
2460,1524731
2026,1158274
2614,1406654
3236,1092467
3238,1325148
3412,1531151
1804,1303921
1873,1159223
1984,1316223
3427,963024
4049,1024228
3523,1440478
5056,1488381
7541,1276102
2934,1039637
10962,944232
1874,1120475
2798,1108645
1985,1388720
2917,1132303
2881,1385929
4895,1404815
2907,1112976
3766,1376425
3857,1033766
1910,1189732
1363,1206523
2464,1486085
3981,1219775
6021,1339699
3087,1541490
1770,1433546
2464,1517336
2796,1163221
3240,1488567
2238,1291433
2280,1304294
4156,1229772
5948,1089436
4298,1353538
4930,1438595
3005,1349976
2778,1217180
2910,1539362
5365,1386086
2782,1012681
3856,1383093
2613,1204057
2428,1285940
2615,1202199
2857,1303270
3413,1414265
2385,1247000
3961,1482550
3232,832069
1984,1484019
3243,1298955
3417,1187963
4034,627403
3678,1596175
3706,1590137
2901,1206434
3077,1434286
3154,1158175
3234,1189732
3420,1044301
4633,1224408
2424,1569192
2787,1481643
2607,1522842
2609,1261548
2799,1165155
3413,1213287
2788,1530183
2618,1403258
10376,1400824
2614,1536597
3415,1436084
1988,1604304
3511,1407637
2470,1579360
2484,1400757
3554,1181125
4563,1387648
2426,1341352
3674,1390200
3238,1200413
3311,1301764
2424,1341004
2905,1334664
3197,925773
1362,1254008
2906,1252772
1284,1111079
8067,1283927
3860,942079
2792,1178309
3774,1206688
3147,1212734
2715,1254254
3707,859901
3855,970787
3155,938122
3340,1052874
3078,1070782
3228,1128809
4427,1116881
4153,813141
3959,898648
3672,920139
4243,908129
4697,925728
3510,1053315
3769,1126780
1364,1117287
3060,1164013
3672,1042601
3523,998288
3511,1056522
3663,1057570
3005,1133859
2552,1309339
13303,1430523
5697,1412380
4041,1323027
2791,1372500
2466,1615534
3976,1548228
3956,1523036
2874,1258545
5124,1221413
5298,1286950
3264,340317
228,594
2905,364181
9485,87495
1162,595
2925,355713
3878,303665
1869,112060
0,764
6595,472837
8144,598580
1296,178428
0,571
5698,359017
8864,270764
3471,109133
0,572
4223,286016
10773,355258
2121,141759
576,227418
5674,102402
10165,310426
10707,505769
9932,570752
8741,842341
8421,1263731
3084,1341406
4447,1537337
3109,1435494
4392,1290960
1620,919197
2458,739056
1180,1551797
2897,1117653
1797,1386408
2900,1197085
2464,1469984
4876,1330941
3236,1300237
4054,1544473
2165,1206039
2791,1387792
2080,1207695
6628,1288773
6869,1129789
5334,1345627
1758,1329713
5566,1254640
4047,1460314
5245,879682
3093,1381364
2430,924938
2612,1215870
2092,1413975
2090,1340461
2381,1335117
2561,1326580
2283,1587333
2610,1368785
3827,1124924
2317,1277861
10090,1388235
3081,1387828
1803,1158783
2049,1121477
2610,1205960
1364,1512342
1984,1293359
3418,1482491
3333,1251961
6435,1192331
2455,1385851
3424,1107476
3089,1342765
3418,625450
1361,1098502
3082,925644
3718,1477727
1374,1295762
3706,1235211
3909,1184448
3050,1299658
4539,1509312
4942,1235057
2794,1419114
2373,1445602
2095,1139371
2094,1300886
3708,1254210
3005,1202799
2423,1229230
2279,1460516
4155,1355829
2090,1410194
2906,1440679
3635,1295041
1178,1438694
3852,1150674
3704,1087080
2243,1407953
2345,1117419
6133,1291011
5078,1191429
3048,1115797
3054,1340484
1908,1338145
3858,1206269
4375,979894
3245,991187
3081,1281557
3085,1488293
3295,1245667
2610,1485743
1803,1014793
2782,1253174
1651,1388648
5335,1341535
3779,1249710
3735,1179385
3427,802371
1868,1210253
9749,1122677
2609,1256843
1362,1274648
2903,1216619
2610,1410585
3624,1532033
4038,1406052
3045,1496083
2908,1273529
1905,1107040
3865,1344076
1905,1386019
1800,1262468
2794,1194085
1989,1006316
5155,1254161
2799,1437383
2277,1244145
2863,1470113
2164,1222235
4145,1473120
3482,1342139
4558,1188826
3521,1205648
2903,1267785
2692,1480132
2796,1254656
738,1476521
3118,1143269
3194,1050930
3085,1439934
3490,1438700
3239,1355783
2424,1347039
3230,1415217
4138,1308476
3374,1359580
1652,1587797
2500,1060080
3996,1038160
7232,976665
5947,1013698
3018,1253675
6857,1195694
2711,1314156
1466,1300800
3527,1198139
4565,1382944
3621,1311885
2609,1328893
2637,1312939
3663,1425390
3236,1029469
4049,1223064
2480,1452096
2273,1475017
2431,1269201
1909,1216499
2857,1215544
3990,1457838
9785,1344641
2859,1236977
1842,1259670
6515,1221005
9583,1248941
3376,1486663
2617,1103912
2174,1096466
3345,1103136
3881,1530365
6649,1384990
1989,1430478
1615,1173066
2900,1001553
4511,1117727
4156,1319661
4815,1188698
3971,1349633
1804,1306994
1990,952133
3505,1304572
2423,1105921
3188,1190806
3228,1516095
2611,1137287
3152,1371076
3525,1468573
2172,1474832
1805,1284200
2094,1330967
3669,1328093
2613,1391239
3085,1341598
5979,1157507
3480,1332855
3650,879302
8272,1368569
2898,1202808
1987,1533767
2427,1477974
3966,1158497
3842,1274437
3187,1358529
1803,1246395
2427,1348973
3154,1052886
4309,1150911
1983,1096528
3194,1487531
1986,1356291
2796,1407856
3154,1348087
1842,1253908
3495,1295034
1987,1411499
2614,934216
4475,1006449
704,597
1911,595
10684,620895
1040,48779
980,596
2818,463307
6403,826632
2077,124370
0,761
622,114887
0,571
2427,286
4169,63400
624,114951
0,572
1804,169005
3670,198342
1704,93722
996,142290
3856,126289
3237,180635
4039,195333
4106,276579
4140,298172
6110,363673
6533,391706
4046,448516
7717,442175
7817,634889
10161,632456
3981,718572
5002,758169
3053,942587
1990,1039590
4037,1255601
2793,1271470
2242,1203760
3251,1239067
4781,1303957
3779,1525410
1801,1288024
3956,1432321
2533,1158725
4491,1336245
1905,1201987
2236,1335860
2605,738740
2426,905480
3155,1453665
3430,1207581
4136,1385236
2460,1106970
3416,1339195
5866,1008718
6615,1388750
3436,1386539
2244,1343373
3679,1141317
3419,1194336
3363,1389478
2426,1437991
2426,1365999
12130,1392098
2174,1352331
2970,1340513
4042,1206089
2240,1289541
3709,1296872
5247,1421824
3994,1483298
6793,1204442
5304,1028009
2765,1406511
4098,1335218
3150,1051630
4348,978189
3184,1116645
3004,1187613
6003,1385271
3012,1200273
3774,1205157
3943,1245458
4283,1511024
3150,1111581
3056,1227549
3049,1065272
3419,881509
3852,1171245
3083,1395204
2799,1367927
2171,1161227
1614,1476982
2636,1210295
2245,1015911
3959,1262029
3862,803896
2429,1243171
3717,1160640
5439,1422029
3867,1224153
3857,1293212
4049,1467214
2496,1287156
2566,1217496
2907,1182044
2800,1473401
3539,1292901
1800,1340669
2447,1435735
1801,1157762
4239,1445444
3671,1395006
3239,1602830
2425,1272256
996,1441692
4037,1129353
2229,1265179
4542,1597856
7685,1115876
8025,1183271
3036,1082431
10830,930388
4872,1249173
2795,1534711
4048,1478959
3050,1381093
2435,1347527
2091,1209388
1621,1538624
3088,1294534
997,1205074
3971,922715
3232,1437612
2527,1571041
1176,1428260
3406,1129783
3875,1311746
5122,1521219
1179,1304447
2825,1390885
1803,1523676
2800,1202981
4285,1434529
2614,974810
3075,1382700
3422,1142714
3823,1089401
4648,1179413
2983,1430532
2607,1424421
1724,926336
2426,875805
4292,783252
7358,785437
3274,1246980
2606,1477463
5233,1095732
8620,1161139
4913,1287897
7969,1097968
8917,1117078
2609,1160839
2460,1041648
3997,1358481
4157,1414917
2868,1421781
2174,1096859
3086,1457086
3241,1392176
2799,1439770
4148,1293556
5895,1170711
2250,1048604
2175,1128075
3237,1472291
3374,1475089
3860,1324429
3193,837625
4040,1220553
3974,1478006
3339,1398882
9562,1396538
2425,1464856
3522,1584144
3524,1323795
1614,1387453
3939,1486501
1620,1543612
3413,1648645
4442,1298322
2704,1261045
2530,1449333
2684,1063918
3445,1254922
4120,1085775
3865,1431543
2602,1598324
1615,1205239
3003,1157388
2087,1311310
3301,1052051
2608,1460954
3160,1283651
2275,1196289
1800,1349432
2899,1091278
2897,1253369
3668,1251873
2155,1203201
3859,1200541
2170,1246813
3663,911756
3002,1229204
7362,1538297
1727,1074637
3008,1344501
2424,1199696
2167,1176787
3707,1356043
3339,1401723
2090,1509026
3853,1204622
2828,1360833
3525,1191644
3343,1494042
3865,1497899
3488,1524975
4040,1485024
2858,1239884
3864,1177968
2421,886307
2860,1416712
3228,1048000
1366,1227033
1953,1261575
2423,1439466
2565,1299224
3001,1219352
2204,277419
971,597
1662,409783
12531,195784
810,160296
5466,596
1435,371110
